title,credit_id,department,gender,id,job,name,id1,first_name,imdb,gender_prob,gender_guess
Star Trek Beyond,52fe4d489251416c751360bb,Writing,2,1745,Characters,Gene Roddenberry,NA,NA,NA,NA,NA
Star Trek Beyond,5767bcc1c3a3683cb9000d1e,Art,2,2486,Production Design,Thomas E. Sanders,NA,NA,NA,NA,NA
Star Trek Beyond,5767beefc3a3680f3b0004ef,Costume &amp; Make-Up,1,2519,Costume Design,Sanja Milkovic Hays,NA,NA,NA,NA,NA
Star Trek Beyond,5767c2c1c3a3680fbd000561,Sound,2,7239,Supervising Sound Editor,Peter Brown,NA,NA,NA,NA,NA
Star Trek Beyond,5767bb879251412ea900046e,Production,1,6052,Casting,April Webster,NA,NA,NA,NA,NA
Star Trek Beyond,57eea318c3a3684d9a006ffb,Production,0,8850,Associate Producer,Helen Pollak,NA,NA,NA,NA,NA
Star Trek Beyond,55b6663ac3a36822720001b9,Writing,2,11108,Screenplay,Simon Pegg,NA,NA,NA,NA,NA
Star Trek Beyond,5767bed09251412f38000533,Art,1,12384,Set Decoration,Lin MacDonald,NA,NA,NA,NA,NA
Star Trek Beyond,52fe4d489251416c751360b5,Production,2,15344,Producer,J.J. Abrams,NA,NA,NA,NA,NA
Star Trek Beyond,5767babc9251412e1c00043f,Production,2,15346,Producer,Roberto Orci,NA,NA,NA,NA,NA
Star Trek Beyond,5767bad3c3a3680f3b000432,Sound,2,15347,Music,Michael Giacchino,NA,NA,NA,NA,NA
Star Trek Beyond,5767bc149251412f380004cb,Sound,2,15354,Music Editor,Stephen M. Davis,NA,NA,NA,NA,NA
Star Trek Beyond,57eea2f4c3a3684e1e006e0f,Production,1,29018,Executive Producer,Dana Goldberg,NA,NA,NA,NA,NA
Star Trek Beyond,5767bd519251412e1c0004b3,Art,2,32200,Art Direction,Jeremy Stanbridge,NA,NA,NA,NA,NA
Star Trek Beyond,5767bd40c3a3680ef000044f,Art,1,38022,Art Direction,Lauren E. Polizzi,NA,NA,NA,NA,NA
Star Trek Beyond,57eea2d8c3a3682a650056a7,Production,2,40592,Executive Producer,Jeffrey Chernov,NA,NA,NA,NA,NA
Star Trek Beyond,5767baa4c3a3680f3b00042b,Production,2,28977,Producer,Bryan Burk,NA,NA,NA,NA,NA
Star Trek Beyond,549da5f9c3a368764f001ff1,Directing,0,58189,Director,Justin Lin,NA,NA,NA,NA,NA
Star Trek Beyond,57eea2c89251416cd600817d,Production,0,58189,Producer,Justin Lin,NA,NA,NA,NA,NA
Star Trek Beyond,5767bae79251412f380004a1,Camera,2,58192,Director of Photography,Stephen F. Windon,NA,NA,NA,NA,NA
Star Trek Beyond,5767bb54c3a3680fbd00043d,Editing,0,58193,Editor,Kelly Matsumoto,NA,NA,NA,NA,NA
Star Trek Beyond,57eea2e59251416cd600818c,Production,2,58433,Executive Producer,David Ellison,NA,NA,NA,NA,NA
Star Trek Beyond,5767bd11c3a368102a000484,Art,2,61177,Art Direction,Dan Hermansen,NA,NA,NA,NA,NA
Star Trek Beyond,5767bcf09251412f380004f3,Art,0,61277,Art Direction,Denny Dugally,NA,NA,NA,NA,NA
Star Trek Beyond,55b6664e92514120e3000163,Writing,0,65779,Screenplay,Doug Jung,NA,NA,NA,NA,NA
Star Trek Beyond,5767bc2a9251412f97000462,Sound,0,67695,Music Editor,Paul Rabjohns,NA,NA,NA,NA,NA
Star Trek Beyond,5767c310c3a368424d000060,Costume &amp; Make-Up,0,75375,Makeup Designer,Joel Harlow,NA,NA,NA,NA,NA
Star Trek Beyond,5767bfdb9251412f38000569,Camera,0,82169,Steadicam Operator,Geoffrey Haley,NA,NA,NA,NA,NA
Star Trek Beyond,5767c5829251412e1c000608,Visual Effects,0,122274,Visual Effects Supervisor,Peter Chiang,NA,NA,NA,NA,NA
Star Trek Beyond,5767c49d9251412f38000631,Visual Effects,0,186721,Visual Effects Producer,Ron Ames,NA,NA,NA,NA,NA
Star Trek Beyond,57eea2929251416ce8008469,Production,0,186721,Associate Producer,Ron Ames,NA,NA,NA,NA,NA
Star Trek Beyond,5767bea1c3a3680f7a0004f3,Art,0,229828,Conceptual Design,Milena Zdravkovic,NA,NA,NA,NA,NA
Star Trek Beyond,5767bb75925141655a0020fc,Production,0,765144,Casting,Alyssa Weisberg,NA,NA,NA,NA,NA
Star Trek Beyond,5767bb649251412ea9000469,Editing,2,931286,Editor,Steven Sprung,NA,NA,NA,NA,NA
Star Trek Beyond,5767bedfc3a3680ef0000488,Art,2,961544,Supervising Art Director,Don MacAulay,NA,NA,NA,NA,NA
Star Trek Beyond,5767bbc49251412ebf000433,Production,0,986277,Casting,Corinne Clark,NA,NA,NA,NA,NA
Star Trek Beyond,5767be4cc3a3680e76000499,Art,0,1081075,Conceptual Design,Tim Flattery,NA,NA,NA,NA,NA
Star Trek Beyond,57eea3029251416cd3008145,Production,0,1106751,Executive Producer,Tommy Harper,NA,NA,NA,NA,NA
Star Trek Beyond,5767bbd69251412f8b000418,Production,0,1122003,Casting,Jennifer Page,NA,NA,NA,NA,NA
Star Trek Beyond,5767bbe8c3a3680ef0000420,Production,0,1155432,Casting Associate,Yesi Ramirez,NA,NA,NA,NA,NA
Star Trek Beyond,5767bcdec3a3680f3b0004a4,Art,0,1192526,Art Direction,Stephen Christensen,NA,NA,NA,NA,NA
Star Trek Beyond,5767c3379251415663000065,Editing,0,1194885,First Assistant Editor,Dave  Cory,NA,NA,NA,NA,NA
Star Trek Beyond,5767c13dc3a368102a00052f,Costume &amp; Make-Up,0,1202779,Assistant Costume Designer,Irena Stepic,NA,NA,NA,NA,NA
Star Trek Beyond,5767bb369251412e58000428,Editing,0,1204243,Editor,Greg D'Auria,NA,NA,NA,NA,NA
Star Trek Beyond,5767bb459251412f97000442,Editing,0,1204245,Editor,Dylan Highsmith,NA,NA,NA,NA,NA
Star Trek Beyond,5767bd319251412ea90004a4,Art,0,1271735,Art Direction,Harry E. Otto,NA,NA,NA,NA,NA
Star Trek Beyond,5767bd00c3a3680ef0000449,Art,0,1293467,Art Direction,Natasha Gerasimova,NA,NA,NA,NA,NA
Star Trek Beyond,5767bd22c3a368102a000488,Art,0,1311175,Art Direction,Andrew Li,NA,NA,NA,NA,NA
Star Trek Beyond,5767c2f7925141655a00224f,Costume &amp; Make-Up,2,1314457,Hairstylist,Robert A. Pandini,NA,NA,NA,NA,NA
Star Trek Beyond,5767c22dc3a36842f7000058,Sound,0,1338372,Foley,Dan O'Connell,NA,NA,NA,NA,NA
Star Trek Beyond,5767c548925141566300009e,Visual Effects,0,1345600,Visual Effects Supervisor,Kevin Baillie,NA,NA,NA,NA,NA
Star Trek Beyond,5767c51e9251412f38000641,Visual Effects,0,1345602,Visual Effects Producer,Devin Fairbairn,NA,NA,NA,NA,NA
Star Trek Beyond,5767bc439251412e58000448,Directing,0,1352983,Script Supervisor,Valeria Migliassi Collins,NA,NA,NA,NA,NA
Star Trek Beyond,5767be90c3a3683cb9000d5b,Art,0,1357046,Conceptual Design,Victor James Martinez,NA,NA,NA,NA,NA
Star Trek Beyond,5767c28b925141655a00223e,Sound,2,1360099,Sound Effects Editor,Lee Gilmore,NA,NA,NA,NA,NA
Star Trek Beyond,5767c01e9251412ea9000511,Crew,0,1364399,Second Unit Cinematographer,Bruce McCleery,NA,NA,NA,NA,NA
Star Trek Beyond,5767be3a9251412e58000496,Art,0,1378676,Conceptual Design,Kris Bergthorson,NA,NA,NA,NA,NA
Star Trek Beyond,5767bfee9251412ebf0004d8,Camera,0,1378716,Still Photographer,Kimberly French,NA,NA,NA,NA,NA
Star Trek Beyond,5767c4d79251415638000093,Visual Effects,0,1386918,Visual Effects Producer,Dane Allan Smith,NA,NA,NA,NA,NA
Star Trek Beyond,5767c00ac3a3683cb9000da8,Camera,0,1389671,Additional Camera,Dale H. Jahraus,NA,NA,NA,NA,NA
Star Trek Beyond,5767c29ec3a368436f000058,Sound,0,1394130,Sound Re-Recording Mixer,Frank A. MontaĂąo,NA,NA,NA,NA,NA
