,MOVIE,DEPARTMENT,FULL_NAME,FIRST_NAME,IMDB,GENDER_PROB,GENDER_GUESS
1,Rogue One,Directed by_,Gareth Edwards,Gareth,http://www.imdb.com/name/nm2284484/?ref_=ttfc_fc_dr1#,0.97,male
2,Rogue One,Writing Credits _,Chris Weitz,Chris,http://www.imdb.com/name/nm0919363/?ref_=ttfc_fc_wr1#,0.93,male
3,Rogue One,Writing Credits _,Tony Gilroy,Tony,http://www.imdb.com/name/nm0006904/?ref_=ttfc_fc_wr2#,1,male
4,Rogue One,Writing Credits _,John Knoll,John,http://www.imdb.com/name/nm0461306/?ref_=ttfc_fc_wr3#,0.99,male
5,Rogue One,Writing Credits _,Gary Whitta,Gary,http://www.imdb.com/name/nm1729428/?ref_=ttfc_fc_wr4#,1,male
6,Rogue One,Writing Credits _,George Lucas,George,http://www.imdb.com/name/nm0000184/?ref_=ttfc_fc_wr5#,0.99,male
7,Rogue One,Produced by_,Simon Emanuel,Simon,http://www.imdb.com/name/nm0004012/?ref_=ttfc_fc_cr2#,0.99,male
8,Rogue One,Produced by_,Kiri Hart,Kiri,http://www.imdb.com/name/nm1848009/?ref_=ttfc_fc_cr3#,0.14,female
9,Rogue One,Produced by_,Toby Hefferman,Toby,http://www.imdb.com/name/nm0373556/?ref_=ttfc_fc_cr4#,0.88,male
10,Rogue One,Produced by_,Finni Johannsson,Finni,http://www.imdb.com/name/nm0433579/?ref_=ttfc_fc_cr5#,0,female
11,Rogue One,Produced by_,Kathleen Kennedy,Kathleen,http://www.imdb.com/name/nm0005086/?ref_=ttfc_fc_cr6#,0,female
12,Rogue One,Produced by_,John Knoll,John,http://www.imdb.com/name/nm0461306/?ref_=ttfc_fc_cr7#,0.99,male
13,Rogue One,Produced by_,Jason D. McGatlin,Jason,http://www.imdb.com/name/nm0568980/?ref_=ttfc_fc_cr8#,1,male
14,Rogue One,Produced by_,Allison Shearmur,Allison,http://www.imdb.com/name/nm1903054/?ref_=ttfc_fc_cr9#,0,female
15,Rogue One,Produced by_,John Swartz,John,http://www.imdb.com/name/nm1596633/?ref_=ttfc_fc_cr10#,0.99,male
16,Rogue One,Produced by_,Susan Towner,Susan,http://www.imdb.com/name/nm0870030/?ref_=ttfc_fc_cr11#,0,female
17,Rogue One,Music by_,Michael Giacchino,Michael,http://www.imdb.com/name/nm0315974/?ref_=ttfc_fc_cr12#,1,male
18,Rogue One,Cinematography by_,Greig Fraser,Greig,http://www.imdb.com/name/nm0292132/?ref_=ttfc_fc_cr13#,1,male
19,Rogue One,Film Editing by_,John Gilroy,John,http://www.imdb.com/name/nm0319673/?ref_=ttfc_fc_cr14#,0.99,male
20,Rogue One,Film Editing by_,Colin Goudie,Colin,http://www.imdb.com/name/nm0332148/?ref_=ttfc_fc_cr15#,0.99,male
21,Rogue One,Film Editing by_,Jabez Olssen,Jabez,http://www.imdb.com/name/nm1288150/?ref_=ttfc_fc_cr16#,1,male
22,Rogue One,Casting By_,Jina Jay,Jina,http://www.imdb.com/name/nm0419605/?ref_=ttfc_fc_cr17#,0,female
23,Rogue One,Production Design by_,Doug Chiang,Doug,http://www.imdb.com/name/nm0156956/?ref_=ttfc_fc_cr18#,1,male
